%
% GALE automatic stratified fold generation for CV
%
% Generated at        : Thu Feb 22 00:27:12 CET 2001
% Random seed         : 69
% File name           : GALE.soybean.cv.seed.69.fold.000009.test.arff
% Number of instances : 64
%

@RELATION soybean

@ATTRIBUTE	date	{april,may,june,july,august,september,october}
@ATTRIBUTE	plant-stand	{normal,lt-normal}
@ATTRIBUTE	precip	{lt-norm,norm,gt-norm}
@ATTRIBUTE	temp	{lt-norm,norm,gt-norm}
@ATTRIBUTE	hail	{yes,no}
@ATTRIBUTE	crop-hist	{diff-lst-year,same-lst-yr,same-lst-two-yrs,same-lst-sev-yrs}
@ATTRIBUTE	area-damaged	{scattered,low-areas,upper-areas,whole-field}
@ATTRIBUTE	severity	{minor,pot-severe,severe}
@ATTRIBUTE	seed-tmt	{none,fungicide,other}
@ATTRIBUTE	germination	{90-100,80-89,lt-80}
@ATTRIBUTE	plant-growth	{norm,abnorm}
@ATTRIBUTE	leaves	{norm,abnorm}
@ATTRIBUTE	leafspots-halo	{absent,yellow-halos,no-yellow-halos}
@ATTRIBUTE	leafspots-marg	{w-s-marg,no-w-s-marg,dna}
@ATTRIBUTE	leafspot-size	{lt-1/8,gt-1/8,dna}
@ATTRIBUTE	leaf-shread	{absent,present}
@ATTRIBUTE	leaf-malf	{absent,present}
@ATTRIBUTE	leaf-mild	{absent,upper-surf,lower-surf}
@ATTRIBUTE	stem	{norm,abnorm}
@ATTRIBUTE	lodging	{yes,no}
@ATTRIBUTE	stem-cankers	{absent,below-soil,above-soil,above-sec-nde}
@ATTRIBUTE	canker-lesion	{dna,brown,dk-brown-blk,tan}
@ATTRIBUTE	fruiting-bodies	{absent,present}
@ATTRIBUTE	external-decay	{absent,firm-and-dry,watery}
@ATTRIBUTE	mycelium	{absent,present}
@ATTRIBUTE	int-discolor	{none,brown,black}
@ATTRIBUTE	sclerotia	{absent,present}
@ATTRIBUTE	fruit-pods	{norm,diseased,few-present,dna}
@ATTRIBUTE	fruit-spots	{absent,colored,brown-w/blk-specks,distort,dna}
@ATTRIBUTE	seed	{norm,abnorm}
@ATTRIBUTE	mold-growth	{absent,present}
@ATTRIBUTE	seed-discolor	{absent,present}
@ATTRIBUTE	seed-size	{norm,lt-norm}
@ATTRIBUTE	shriveling	{absent,present}
@ATTRIBUTE	roots	{norm,rotted,galls-cysts}
@ATTRIBUTE	class	{diaporthe-stem-canker,charcoal-rot,rhizoctonia-root-rot,phytophthora-rot,brown-stem-rot,powdery-mildew,downy-mildew,brown-spot,bacterial-blight,bacterial-pustule,purple-seed-stain,anthracnose,phyllosticta-leaf-spot,alternarialeaf-spot,frog-eye-leaf-spot,diaporthe-pod-&-stem-blight,cyst-nematode,2-4-d-injury,herbicide-injury}

@DATA
may,lt-normal,gt-norm,lt-norm,yes,same-lst-two-yrs,low-areas,severe,fungicide,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm,phytophthora-rot
april,?,?,?,?,?,scattered,?,?,?,?,abnorm,absent,dna,dna,?,present,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2-4-d-injury
october,lt-normal,gt-norm,gt-norm,no,same-lst-sev-yrs,whole-field,minor,other,80-89,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,no,above-sec-nde,dk-brown-blk,present,firm-and-dry,absent,none,absent,diseased,brown-w/blk-specks,norm,absent,absent,norm,absent,norm,anthracnose
september,normal,gt-norm,gt-norm,yes,same-lst-yr,whole-field,pot-severe,fungicide,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,alternarialeaf-spot
august,normal,gt-norm,norm,yes,same-lst-sev-yrs,scattered,severe,none,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,diaporthe-stem-canker
june,normal,gt-norm,norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,brown-spot
october,normal,gt-norm,gt-norm,yes,same-lst-yr,whole-field,minor,fungicide,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,absent,none,absent,diseased,colored,norm,absent,absent,norm,absent,norm,frog-eye-leaf-spot
august,normal,gt-norm,gt-norm,no,diff-lst-year,scattered,minor,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,lt-1/8,absent,absent,absent,norm,no,absent,tan,absent,absent,absent,none,absent,diseased,colored,abnorm,absent,present,norm,absent,norm,purple-seed-stain
september,normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,fungicide,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,no,above-sec-nde,dna,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,diaporthe-stem-canker
october,normal,gt-norm,gt-norm,yes,same-lst-two-yrs,upper-areas,minor,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,lt-1/8,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,none,absent,diseased,colored,abnorm,absent,present,norm,absent,norm,purple-seed-stain
september,normal,norm,norm,no,diff-lst-year,low-areas,minor,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dna,absent,firm-and-dry,absent,none,absent,diseased,colored,norm,absent,absent,norm,absent,norm,frog-eye-leaf-spot
may,normal,lt-norm,gt-norm,no,same-lst-sev-yrs,upper-areas,pot-severe,fungicide,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,present,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,phyllosticta-leaf-spot
june,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,scattered,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,lower-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,absent,norm,absent,norm,downy-mildew
